volcano_number,volcano_name,primary_volcano_type,last_eruption_year,country,region,latitude,longitude,elevation,eruption_number,vei
342080,Acatenango,Stratovolcano(es),1972,Guatemala,México and Central America,14.501,-90.876,3976,10655,1.0
342080,Acatenango,Stratovolcano(es),1972,Guatemala,México and Central America,14.501,-90.876,3976,10654,2.0
342080,Acatenango,Stratovolcano(es),1972,Guatemala,México and Central America,14.501,-90.876,3976,10653,3.0
321040,Adams,Stratovolcano,950,United States,Canada and Western USA,46.206,-121.49,3742,20517,2.0
321040,Adams,Stratovolcano,950,United States,Canada and Western USA,46.206,-121.49,3742,20516,2.0
321040,Adams,Stratovolcano,950,United States,Canada and Western USA,46.206,-121.49,3742,20515,2.0
321040,Adams,Stratovolcano,950,United States,Canada and Western USA,46.206,-121.49,3742,20514,2.0
321040,Adams,Stratovolcano,950,United States,Canada and Western USA,46.206,-121.49,3742,20513,2.0
321040,Adams,Stratovolcano,950,United States,Canada and Western USA,46.206,-121.49,3742,20512,1.0
321040,Adams,Stratovolcano,950,United States,Canada and Western USA,46.206,-121.49,3742,20511,2.0
321040,Adams,Stratovolcano,950,United States,Canada and Western USA,46.206,-121.49,3742,20510,1.0
321040,Adams,Stratovolcano,950,United States,Canada and Western USA,46.206,-121.49,3742,20509,2.0
321040,Adams,Stratovolcano,950,United States,Canada and Western USA,46.206,-121.49,3742,20508,2.0
321040,Adams,Stratovolcano,950,United States,Canada and Western USA,46.206,-121.49,3742,20507,1.0
321040,Adams,Stratovolcano,950,United States,Canada and Western USA,46.206,-121.49,3742,20506,2.0
321040,Adams,Stratovolcano,950,United States,Canada and Western USA,46.206,-121.49,3742,20505,2.0
321040,Adams,Stratovolcano,950,United States,Canada and Western USA,46.206,-121.49,3742,20504,2.0
321040,Adams,Stratovolcano,950,United States,Canada and Western USA,46.206,-121.49,3742,20503,2.0
283170,Adatarayama,Stratovolcano(es),1996,Japan,"Japan, Taiwan, Marianas",37.647,140.281,1728,17913,1.0
283170,Adatarayama,Stratovolcano(es),1996,Japan,"Japan, Taiwan, Marianas",37.647,140.281,1728,17912,2.0
283170,Adatarayama,Stratovolcano(es),1996,Japan,"Japan, Taiwan, Marianas",37.647,140.281,1728,17911,2.0
283170,Adatarayama,Stratovolcano(es),1996,Japan,"Japan, Taiwan, Marianas",37.647,140.281,1728,17910,1.0
283170,Adatarayama,Stratovolcano(es),1996,Japan,"Japan, Taiwan, Marianas",37.647,140.281,1728,17907,3.0
283170,Adatarayama,Stratovolcano(es),1996,Japan,"Japan, Taiwan, Marianas",37.647,140.281,1728,17905,3.0
283170,Adatarayama,Stratovolcano(es),1996,Japan,"Japan, Taiwan, Marianas",37.647,140.281,1728,17904,3.0
283170,Adatarayama,Stratovolcano(es),1996,Japan,"Japan, Taiwan, Marianas",37.647,140.281,1728,17903,3.0
283170,Adatarayama,Stratovolcano(es),1996,Japan,"Japan, Taiwan, Marianas",37.647,140.281,1728,17902,3.0
283170,Adatarayama,Stratovolcano(es),1996,Japan,"Japan, Taiwan, Marianas",37.647,140.281,1728,17901,3.0
221170,Adwa,Stratovolcano,Unknown,Ethiopia,Africa and Red Sea,10.07,40.84,1733,13950,2.0
221170,Adwa,Stratovolcano,Unknown,Ethiopia,Africa and Red Sea,10.07,40.84,1733,13949,2.0
284160,Agrigan,Stratovolcano,1917,United States,"Japan, Taiwan, Marianas",18.77,145.67,965,18502,4.0
382090,Agua de Pau,Stratovolcano,1564,Portugal,Atlantic Ocean,37.77,-25.47,947,13033,2.0
382090,Agua de Pau,Stratovolcano,1564,Portugal,Atlantic Ocean,37.77,-25.47,947,13032,5.0
382090,Agua de Pau,Stratovolcano,1564,Portugal,Atlantic Ocean,37.77,-25.47,947,13029,4.0
382090,Agua de Pau,Stratovolcano,1564,Portugal,Atlantic Ocean,37.77,-25.47,947,13028,3.0
382090,Agua de Pau,Stratovolcano,1564,Portugal,Atlantic Ocean,37.77,-25.47,947,13026,5.0
358062,Aguilera,Stratovolcano,-1250,Chile,South America,-50.33,-73.75,2546,12308,5.0
